Datum,Checksum,Aktualnost,Chybi_pocet,Zmena_link_pocet,Ostranit_pocet,Celk_zmen
2020-10-22 16:41:00,9ae05d26ae39a22c75cbad6fc9654dd3,97,1,0,0,1
2020-10-22 17:19:00,bc5d1f13e8992bccff56ddc2eb25b754,100,0,0,0,0
2020-10-22 18:14:00,f2d69d75a6f9ed4557f93402bb069113,100,0,0,0,0
2020-10-22 18:15:00,11bd1b061cdc96ed22e343f61b6774d7,97,1,0,0,1
2020-10-22 18:56:00,273e2475b1e658473a150006b62c1a01,100,0,0,0,0
2020-10-23 19:33:00,ecce36d2b368b26e2ed4508591d8fdb1,100,0,0,0,0
2020-10-23 19:38:00,2e3f24b322774c727d9b1f0eb59d891f,97,1,0,0,1
2020-10-24 12:49:00,355e8aa9b2f3d0be96a75b028815c80a,100,0,0,0,0
2020-10-27 09:00:00,7b83150c4f11399197368680d503d5fd,100,0,0,0,0
2020-10-27 09:05:00,f5c8cc4813d016f3b01c1500038c9bc7,94,3,0,0,3
2020-10-27 09:55:00,8f6381c05c5a45ee95eac2961ab0743a,94,3,0,0,3
2020-10-27 10:00:00,1f569ac5554fb9d347d972c5eb2ae5d1,91,5,0,0,5
2020-10-27 10:10:00,b57809b66d7cd3301afba8ff1b4c016f,91,5,0,0,5
2020-10-27 10:11:00,cc9efb43799f44a128efd73e7d0a67da,89,6,0,0,6
2020-10-27 13:05:00,ea25a28706f33cc4a7272559391db05a,91,5,0,0,5
2020-10-27 16:39:00,05de453a55ada084ec65c51bcf3641d0,92,4,0,0,4
2020-10-27 16:44:00,17cf6b3e8e0b1bad14dfd01c81024750,96,2,0,0,2
2020-10-27 17:50:00,6cf1b8033531996f1ce75da039f5ccc1,96,2,0,0,2
2020-10-27 20:55:00,66b8925c3632437f209532d357ba85a4,98,1,0,0,1
2020-10-27 21:00:00,8cd7f5fbdbab2dd784b89f617ad72260,100,0,0,0,0
2020-10-28 20:57:00,698b43dae1fa9aa948be5e9676bd21dc,100,0,0,0,0
2020-10-30 19:17:00,97751e41fd6922905c779e9bf94c0cc1,100,0,0,0,0
2020-10-30 19:22:00,013b442f0cc07b2e2125b1425bfd7408,98,1,0,0,1
2020-10-30 23:17:00,a4fa468dc0908a7baa3339d7034203a9,100,0,0,0,0
2020-11-02 21:09:00,29f5316003597c625274514e9b3356c1,100,0,0,0,0
2020-11-02 21:14:00,26333c7205f0ef6f19d6aa7946464e04,100,0,0,0,0
2020-11-02 21:18:00,3c770d47fa4305a9a7801a7b77e441c8,96,2,0,0,2
2020-11-03 03:11:00,ee6b40b0fa6074c0b67f1fec9730b992,98,1,0,0,1
2020-11-03 15:56:00,97f6c358062592ef72f36e30891553a6,100,0,0,0,0
2020-11-03 16:11:00,1409b0e4cdc42dd2b5139a9146771e13,100,0,0,0,0
2020-11-03 16:16:00,87a5d4d55235e14b115472bc111036d8,98,1,0,0,1
2020-11-03 18:26:00,f703ab86f167473a1dd4bf0a0ec01bb4,98,1,0,0,1
2020-11-03 18:31:00,bb6c7f1ddd077e37faff8867510a573d,92,4,0,0,4
2020-11-04 13:23:00,c1827c5236d946c450fab73b231ae923,94,3,0,0,3
2020-11-04 13:38:00,1092bc4e7f0f98017a27a5c8174de2d1,96,2,0,0,2
2020-11-04 13:58:00,1df79aba7e3399f30481ac8baa3f51d0,100,0,0,0,0
2020-11-04 14:58:00,65fbae089613aeac549fca42659c8bcc,100,0,0,0,0
2020-11-04 15:03:00,af112a973defcae46f153fece9380699,98,1,0,0,1
2020-11-05 10:43:00,e88d33ead5772cbb09ac744c29918bdb,98,1,0,0,1
2020-11-05 10:48:00,e2c341b06d6b30f31181206e8c908d9d,98,1,0,0,1
2020-11-06 13:56:00,0c2700ebd610d28199c2daacae3c45e4,100,0,0,0,0
2020-11-06 19:13:00,9836d49ae154980541bbd8d0219b544b,100,0,0,0,0
2020-11-06 19:18:00,37e4f8513224dac853cdc87b1ae1fb15,100,0,0,0,0
2020-11-09 16:00:00,91bf0fdedb6036db2c3ef453affc123c,88,8,0,0,8
2020-11-09 16:05:00,68f46391d59cb7e36d1d11aa13c56058,82,12,0,0,12
2020-11-09 21:25:00,ee719f2314e0aa0706360f40fde00f45,82,12,0,0,12
2020-11-09 23:05:00,ab333a8600f1937d103c4487ae482240,100,0,0,0,0
2020-11-13 21:28:00,3ceeab43c95085e32da13e606627bf57,100,0,0,0,0
2020-11-13 21:33:00,aaff91d54d775d46c84dbb25a567f5b9,98,1,0,0,1
2020-11-16 19:01:00,592ca4fedfd235ac200e990ffe733d60,100,0,0,0,0
2020-11-16 19:06:00,582d210e8d713734a4196988a20c670f,97,2,0,0,2
2020-11-16 22:11:00,634ade9f32866ee1d547a3080f8eca1c,97,2,0,0,2
2020-11-16 22:16:00,261a883cd22fa020c0c2979d4d5fee25,91,6,0,0,6
2020-11-16 23:01:00,b35bfedba2c9bc70248e19284eae0674,91,6,0,0,6
2020-11-16 23:06:00,cd1bcc0ce5340db1c113fcad9e2fc244,91,6,0,0,6
2020-11-16 23:31:00,099fe8579c28439277f7ea76448af299,91,6,0,0,6
2020-11-17 22:51:00,4412426dab03d4c18435a16e68ce4711,91,6,0,0,6
2020-11-17 22:58:00,1627f4f3e5fa9d872cf847cb8a237ee0,90,6,0,0,6
2020-11-17 22:58:00,06e7f61b18b1b92920b59e802ed98c3d,90,6,0,0,6
2020-11-18 00:54:00,c2d05d7f0bd91ddec6929b01dd8d93b4,90,6,0,0,6
2020-11-18 00:59:00,4af564bdbbb162abb7006f6853ac65a6,90,6,0,0,6
2020-11-18 01:08:00,d9e142cac77113bafb3de22ea25eac8b,90,6,0,0,6
2020-11-18 01:19:00,0b9c0b713bd3e07180c4ffc33fd773cc,90,6,0,0,6
2020-11-18 02:14:00,4b634a7396e9a0df55a9b56c211ed246,92,5,0,0,5
2020-11-18 02:34:00,f430930389b9ae1e02a283eda5de38d9,93,4,0,0,4
2020-11-18 02:59:00,3a0f6f9102a2a00aa77d3829ca46bf2a,95,3,0,0,3
2020-11-18 03:09:00,a0b1e4d203defcf99a6c3d525719aca7,96,2,0,0,2
2020-11-18 03:12:00,c4ea883fa4293701d6c2059a4f0ecbfb,96,2,0,0,2
2020-11-18 03:19:00,4e0df212f9f0378ee3477d62cfd18d71,96,4,0,0,4
2020-11-18 03:24:00,df3706f58a2a57b454a0bc1985cd37e7,96,6,0,0,6
2020-11-18 03:29:00,a1ac403f6a136720bbfb6c55df44317c,96,8,0,0,8
2020-11-18 03:34:00,9a99524f934776801374c33d6a30b0c9,97,3,0,0,3
2020-11-18 03:39:00,c5e27fd6d3ffcf89e05c182030f35514,97,9,0,0,9
2020-11-18 03:44:00,b9d813e0af13e85d8d2a4a6774f57100,97,10,0,0,10
2020-11-18 03:49:00,05f9de47cd1c36b3b1bca3b0ee22b582,97,11,0,0,11
2020-11-18 03:54:00,29b1b91b7bf7ea823567853696109c93,98,3,0,0,3
2020-11-18 03:59:00,33e31cccfdfc63267da01dcde1d2a59e,97,11,0,0,11
2020-11-18 04:05:00,5effcc0cfbf72851d3503a6482d13e51,98,11,0,0,11
2020-11-18 04:07:00,3391a31bb03f55a05360f81820053360,100,0,0,0,0
2020-11-18 04:09:00,6ef2bf37615e19227a7624b82ac4162f,98,11,0,0,11
2020-11-18 04:14:00,7885201457345483b54a5f93820431b7,98,3,0,0,3
2020-11-18 23:33:00,84a1b1a9f0eba8b5591d52b2738b78af,96,0,0,2,2
